e11907d7 AABonusDamage
5119f0ff ADBonus
6f82dfe9 ADCoefficient
295b5980 ADDamageCalc
f1d43b01 ADPerStack
6965dfde ADRatioBonus
6a5c7033 ADRatioMax
80701a8d ADRatioMin
ecb4e82f ADRatioPerTick
e476601d ADScaling
3ef0480f AMMORECHARGETIME
a7cf607b APFromMana
b4a9e7a4 APPerGlory
47b9abba APRatioPerSecond
ad23e4de APRatioPerStack
f328829b APRatioPerTick
86bcfb2e APRatioTick
e78fad4a APRatioToPercentDamage
eaef1b9e APRatioTooltip
6a2b4d26 AbilityPowerMin
0b31873d ActiveADToArmorRatio
682f991b ActiveAPToMRRatio
67b851b1 ActiveBADRatio
6721e4a1 ActiveBaseResists
cc1d21f3 ActiveExecutePercent
14d5f8b0 AdditionalADRatio
3be361c4 AdditionalBaseDamage
a4948451 AdditionalChunkHealing
026fdafd AdditionalDamage
7956b39f AdditionalStunDurationOverTime
23c6a259 AfterburnerTimeTooltip
908e2cdf AftershockAPRatio
fadb2e80 AftershockDamage
d989dd8e AllyArmor
82987407 AllyArmorPercent
7af3cce5 AllyHeal
03a560d7 AllyMS
4387d5cd AllyResist
a0bde86c AmmoRechargeRateBaseTooltip
070ff06f AmmoRechargeRateTooltip
36480dc9 AmountToBlock
2a9675cc AoEBaseDamage
5ca857b9 AoEDamagePerTick
7aa9344b AoEDamagePerTickAPRatio
d26068f4 ApproximateAPBonusAvoidingRecursion
3ec788e9 ApproximateHPBonusAvoidingRecursion
0c5eb1aa ArPenBonusMax
f5b9972d AttackBonusDamage
f3f201bd AttackBonusDamageTT
c9a5e946 AttackDamageMax
a54c8020 AttackDamageTT
999ef955 AttackSpeedCalc
01caf267 AttackTotalDMG
f2aa68b0 AugmentShieldBonus
f7e6cdeb AuraDamage
8d4753a6 AuraDamagePerSecond
2484d7f3 AutoDamage
292bbdbb BADRatio
1c7dde3c BaseADBonus
509c4f64 BaseADPerStack
df52861f BaseBiteDamage
ff2cfd2e BaseCritDamageMultiplier
725eb199 BaseDamageAftershock
4d8f85ee BaseDamageBeam
efacf1b1 BaseDamageBounce
52261e78 BaseDamageLaser
f33ee833 BaseDamageMin
a878fcc2 BaseDamageMinTooltip
06f7a042 BaseDamageNamed
27fb6084 BaseDamagePerSecond
b4932a85 BaseDamagePerTick
c417cd94 BaseDamageTooltip
d509ced9 BaseDamageTotal
3edb82f4 BaseDamageTotalTooltip
ca91b80b BaseDamageTransferPercent
59fb98d8 BaseDetonationDamage
57ecfba9 BaseHealTooltip
b9eefbce BaseHealth
e011aa89 BaseKnockupDuration
6bc2f334 BaseMarkDamage
a8364d95 BaseMaxHealthDamage
3ddc2e11 BaseMissileDamage
179b0c00 BasePercentHPPerStack
c966c4cb BasePercentHealth
42876acf BasePercentMaxHPDmgPerSec
28c31bcb BasePhysicalDR
97facb91 BasePhysicalDamagePerStack
628aabbb BaseResists
2f89af4d BaseShieldAmount
a1c190b1 BaseSlowAmount
24af6441 BaseTrueDamage
2059e77b BaseZoneDamage
1b4326a0 BasicAttackDamage
