56a47c3f Items/ItemGroups/BootsOfSpeed
0745b96e BootsOfSpeed
19a02cb6 Items/ItemGroups/BootsWithoutActives
ed9e3c75 BootsWithoutActives
623abcf1 Items/ItemGroups/HuntersTalismanGroup
f14634fa HuntersTalismanGroup
cfc13e40 Items/ItemGroups/HuntersMacheteGroup
909cfd1e HuntersMacheteGroup
a1ca4cdd Items/ItemGroups/DoransItems
332399be DoransItems
22b8e842 Items/ItemGroups/LegendaryClearingItems
a75d142f LegendaryClearingItems
cd9c297f Items/ItemGroups/Potion
bdfad7ea Potion
c6c8ca03 Items/ItemGroups/Consumable
dcf5bf29 Items/ItemGroups/TotalBiscuit
4ee89448 TotalBiscuit
ea8d4e65 Items/ItemGroups/GuardianItems
3207ba02 GuardianItems
50fcb403 Items/ItemGroups/Elixir
483cfa2a Elixir
2f9d74aa Items/ItemGroups/StopwatchGroup
9372d7eb StopwatchGroup
2221d1df Items/ItemGroups/BuildsFromStopwatchGroup
cb948e7a BuildsFromStopwatchGroup
7524c3cb Items/ItemGroups/ViktorHexCore
4cbd3804 ViktorHexCore
dcfc9477 Items/ItemGroups/TheBlackSpear
f030db34 TheBlackSpear
193e125c Items/ItemGroups/GangplankRUpgrade02
d2dcf223 GangplankRUpgrade02
1c3e1715 Items/ItemGroups/GangplankRUpgrade01
d3dcf3b6 GangplankRUpgrade01
1b3e1582 Items/ItemGroups/GangplankRUpgrade03
d4dcf549 GangplankRUpgrade03
d899ade5 Items/ItemGroups/SLIMEStarterItems
690e7f2e SLIMEStarterItems
f2cbde43 TotalDamageTooltip
2c54dbef MaxDamageTooltip
14fb8a67 TotalDamagePerSecond
450caf84 EmpoweredDamagePerSecondTooltipOnly
9738309b SlowDurationAtMaxMultiplier
5114133d tADRatio
50f145c0 EmpoweredBonusDamage
01b20ba9 TooltipMaxTargetsHit
f0847984 QBaseDamage
59e98dae QTotalADRatio
b4932a85 BaseDamagePerTick
ecb4e82f ADRatioPerTick
26f85f5a TotalDamageNearest
409753d5 rAPCoefficient
49726207 BonusDamageToMinions
c51e9cf3 E2Damage
18964e99 R2BaseDamage
2330779f EmpoweredDamageTooltip
21e3fd66 TotalDamageReflection
19d777a6 InitialBurstDamage
f7e6cdeb AuraDamage
a44698ed CritDamageModTooltip
ef37922d DamagePerStrike
6b932875 MaxStunDuration
3edb82f4 BaseDamageTotalTooltip
48054a0b RBaseMonsterDamage
27fb6084 BaseDamagerPerSecond
26c6277e TotalMinDamage
c4cef8f9 TotalShieldStrength
ad9e058c TotalMaxDamage
8a4eacf3 MultiHitAmp
b48f103b MissileBaseDamage
e1b8fdc9 MissileDamageTooltip
dc7aa688 TotalBonusDamageTooltip
7d1075e8 BonusDamageBase
7d17fa89 DrainDamageCalc
d4a2ad0d OnHitBuffDamage
5ab83474 OnHitBuffBaseDamage
79be7972 SuperQBasePercentage
85f4c0e9 PercentSuperQDamageTT
dda10554 SuperQMonsterMaxDamage
906817a9 SuperQMonsterMaxDamageTotal
78fcefbb TotalPassiveShield
983f69a4 PassiveShieldHealthRatio
cf9d3cb7 PVEDamage
1e5c2386 MaxBonusDamagePercent
e33254fc TotalEmpoweredDamage
6594c758 TotalShield
f4e9b5ef UpfrontShieldHealthRatio
552b8146 MultiHitRatio
f34bcd47 TooltipTotalDamage
92934bde SweetSpotTotalDamage
763fa96c SweetSpotMultiplier
69ebc1b4 ReducedDamage
fd033db4 BlastDamage
c6bf92da WBaseDamage
6958137c WTotalADRatio
06f7a042 BaseDamageNamed
86f779b1 tAD Ratio
71367ea5 RBigGhoulBonusHP
671f1598 RBigGhoulBonusAD
90309d78 DamageConversionPercentage
bf25c6a9 EmpoweredBonusDamage
d509ced9 BaseDamageTotal
aac14126 BaseDamage
292bbdbb BADRatio
8126d356 OuterConeMaxHPDamage
2c4aa134 QEmpoweredAmp
